prefix,group,source,round,source_cycle,execution_index,benchmark,cpu,raw_benchmark,iterations,ns_op,bytes_op,allocs_op,comparison,note,raw_file
r9,public,baseline,1,1,13,BenchmarkSessionValidateAllContent/4,,BenchmarkSessionValidateAllContent/4,84966,2849,0,0,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateAllContent/16,,BenchmarkSessionValidateAllContent/16,22552,10618,0,0,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateAllContent/64,,BenchmarkSessionValidateAllContent/64,4545,54065,0,0,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateAllContent/256,,BenchmarkSessionValidateAllContent/256,588,390699,0,0,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateAllContent/1024,,BenchmarkSessionValidateAllContent/1024,54,4413500,1960,513,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileSmallSchema,,BenchmarkCompileSmallSchema,1245,194798,206075,625,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkCompileAndFirstSession,,BenchmarkCompileAndFirstSession,1165,212075,279815,627,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkValidateRepeatedSmallDocument,,BenchmarkValidateRepeatedSmallDocument,806,314229,76808,38,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateRepeatedSmallDocument,,BenchmarkSessionValidateRepeatedSmallDocument,877,284693,35,1,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_16/churn_false,,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_16/churn_false,29890,8087,32,1,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_16/churn_true,,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_16/churn_true,17960,13176,32,1,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_64/churn_false,,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_64/churn_false,8168,29979,32,1,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_64/churn_true,,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_64/churn_true,4731,50611,32,1,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_256/churn_false,,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_256/churn_false,1980,125330,32,1,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_256/churn_true,,BenchmarkSessionValidateNamespaceAdmissionChurn/depth_256/churn_true,1164,212005,32,1,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateRepeatedXSIType,,BenchmarkSessionValidateRepeatedXSIType,2652,91643,33,1,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateIDAttributeStart,,BenchmarkSessionValidateIDAttributeStart,1882,127682,840,101,paired,,r9-public-1-baseline.txt
r9,public,baseline,1,1,13,BenchmarkSessionValidateSimpleIDEnd,,BenchmarkSessionValidateSimpleIDEnd,2114,110943,832,101,paired,,r9-public-1-baseline.txt
